@T,table,
@H,timestamp,val_4
ID,  ,4
,2006-07-01 00:00,17.08
,2006-07-01 00:30,25.85
,2006-07-01 01:00,-9999
,2006-07-01 01:30,-8.22
,2006-07-01 02:00,-1.03
,2006-07-01 02:30,14.31
,2006-07-01 03:00,0.18
,2006-07-01 03:30,6.03
,2006-07-01 04:00,0.75
,2006-07-01 04:30,4.12
,2006-07-01 05:00,17.04
,2006-07-01 05:30,41.18
,2006-07-01 06:00,71.4
,2006-07-01 06:30,109.27
,2006-07-01 07:00,108.82
,2006-07-01 07:30,186.39
,2006-07-01 08:00,208.42
,2006-07-01 08:30,228.51
,2006-07-01 09:00,268.36
,2006-07-01 09:30,337.24
,2006-07-01 10:00,385.44
,2006-07-01 10:30,234.31
,2006-07-01 11:00,256.61
,2006-07-01 11:30,195.69
,2006-07-01 12:00,280.77
,2006-07-01 12:30,163.17
,2006-07-01 13:00,387.1
,2006-07-01 13:30,103.64
,2006-07-01 14:00,262.26
,2006-07-01 14:30,218.91
,2006-07-01 15:00,200.12
,2006-07-01 15:30,140.45
,2006-07-01 16:00,122.18
,2006-07-01 16:30,124.7
,2006-07-01 17:00,70.63
,2006-07-01 17:30,45.12
,2006-07-01 18:00,33.72
,2006-07-01 18:30,18.04
,2006-07-01 19:00,0.1
,2006-07-01 19:30,-1.73
,2006-07-01 20:00,-9999
,2006-07-01 20:30,-0.26
,2006-07-01 21:00,-3.67
,2006-07-01 21:30,11.64
,2006-07-01 22:00,19.58
,2006-07-01 22:30,-1.18
,2006-07-01 23:00,-28.64
,2006-07-01 23:30,18.74
,2006-07-02 00:00,-1.93
,2006-07-02 00:30,-5.98
,2006-07-02 01:00,-19.69
,2006-07-02 01:30,-5.23
,2006-07-02 02:00,-4.13
,2006-07-02 02:30,4.91
,2006-07-02 03:00,-1.7
,2006-07-02 03:30,-8.27
,2006-07-02 04:00,2.11
,2006-07-02 04:30,4.28
,2006-07-02 05:00,6.19
,2006-07-02 05:30,11.68
,2006-07-02 06:00,8.06
,2006-07-02 06:30,39.32
,2006-07-02 07:00,52.51
,2006-07-02 07:30,76
,2006-07-02 08:00,51.76
,2006-07-02 08:30,76.63
,2006-07-02 09:00,103.64
,2006-07-02 09:30,137.36
,2006-07-02 10:00,174.83
,2006-07-02 10:30,139.02
,2006-07-02 11:00,120.93
,2006-07-02 11:30,110.94
,2006-07-02 12:00,127.68
,2006-07-02 12:30,223.87
,2006-07-02 13:00,303
,2006-07-02 13:30,283.83
,2006-07-02 14:00,278.94
,2006-07-02 14:30,260.79
,2006-07-02 15:00,285.15
,2006-07-02 15:30,117.33
,2006-07-02 16:00,61.99
,2006-07-02 16:30,59.05
,2006-07-02 17:00,41.62
,2006-07-02 17:30,3.29
,2006-07-02 18:00,7.72
,2006-07-02 18:30,8.37
,2006-07-02 19:00,-7.44
,2006-07-02 19:30,7.31
,2006-07-02 20:00,-3.92
,2006-07-02 20:30,-5.09
,2006-07-02 21:00,2.04
,2006-07-02 21:30,-1.33
,2006-07-02 22:00,-11.47
,2006-07-02 22:30,-2.64
,2006-07-02 23:00,2.26
,2006-07-02 23:30,-61
,2006-07-03 00:00,2.73
,2006-07-03 00:30,1.75
,2006-07-03 01:00,-17.36
,2006-07-03 01:30,-0.92
,2006-07-03 02:00,2.36
,2006-07-03 02:30,-5.11
,2006-07-03 03:00,-3.54
,2006-07-03 03:30,-1.28
,2006-07-03 04:00,-4.5
,2006-07-03 04:30,-6.01
,2006-07-03 05:00,7.3
,2006-07-03 05:30,22.2
,2006-07-03 06:00,51.27
,2006-07-03 06:30,89.64
,2006-07-03 07:00,65.91
,2006-07-03 07:30,192.63
,2006-07-03 08:00,245.31
,2006-07-03 08:30,216.43
,2006-07-03 09:00,-9999
,2006-07-03 09:30,-9999
,2006-07-03 10:00,326.55
,2006-07-03 10:30,310.65
,2006-07-03 11:00,428.74
,2006-07-03 11:30,343.82
,2006-07-03 12:00,167.72
,2006-07-03 12:30,123.45
,2006-07-03 13:00,290.97
,2006-07-03 13:30,280.39
,2006-07-03 14:00,250.39
,2006-07-03 14:30,224.96
,2006-07-03 15:00,169.88
,2006-07-03 15:30,101.1
,2006-07-03 16:00,29.48
,2006-07-03 16:30,38.64
,2006-07-03 17:00,33.35
,2006-07-03 17:30,33.47
,2006-07-03 18:00,6.4
,2006-07-03 18:30,40.04
,2006-07-03 19:00,9.01
,2006-07-03 19:30,-0.26
,2006-07-03 20:00,30.12
,2006-07-03 20:30,-29.82
,2006-07-03 21:00,-9999
,2006-07-03 21:30,-9999
,2006-07-03 22:00,-9999
,2006-07-03 22:30,-9999
,2006-07-03 23:00,-9999
,2006-07-03 23:30,11.71
,2006-07-04 00:00,-9999
,2006-07-04 00:30,-9999
,2006-07-04 01:00,-9999
,2006-07-04 01:30,-9999
,2006-07-04 02:00,-9999
,2006-07-04 02:30,-9999
,2006-07-04 03:00,-9999
,2006-07-04 03:30,-9999
,2006-07-04 04:00,-9999
,2006-07-04 04:30,-9999
,2006-07-04 05:00,-9999
,2006-07-04 05:30,-9999
,2006-07-04 06:00,-9999
,2006-07-04 06:30,-9999
,2006-07-04 07:00,-9999
,2006-07-04 07:30,-9999
,2006-07-04 08:00,-9999
,2006-07-04 08:30,-9999
,2006-07-04 09:00,-9999
,2006-07-04 09:30,-9999
,2006-07-04 10:00,-9999
,2006-07-04 10:30,315.77
,2006-07-04 11:00,325.95
,2006-07-04 11:30,371.54
,2006-07-04 12:00,334.22
,2006-07-04 12:30,261.71
,2006-07-04 13:00,320.91
,2006-07-04 13:30,275.13
,2006-07-04 14:00,218
,2006-07-04 14:30,208.86
,2006-07-04 15:00,192.13
,2006-07-04 15:30,178.54
,2006-07-04 16:00,137.22
,2006-07-04 16:30,109.45
,2006-07-04 17:00,73.29
,2006-07-04 17:30,44.09
,2006-07-04 18:00,18.62
,2006-07-04 18:30,4.11
,2006-07-04 19:00,8.83
,2006-07-04 19:30,15.14
,2006-07-04 20:00,1.71
,2006-07-04 20:30,3.44
,2006-07-04 21:00,-9.24
,2006-07-04 21:30,-8.66
,2006-07-04 22:00,-2.1
,2006-07-04 22:30,5.84
,2006-07-04 23:00,11.73
,2006-07-04 23:30,-9999
,2006-07-05 00:00,-18.54
