@T,table,
@H,timestamp,val_4
ID,  ,4
,2006-07-01 00:00,-57.76
,2006-07-01 00:30,-64.81
,2006-07-01 01:00,-9999
,2006-07-01 01:30,-17.13
,2006-07-01 02:00,-23.52
,2006-07-01 02:30,-39.43
,2006-07-01 03:00,-29.25
,2006-07-01 03:30,-53.77
,2006-07-01 04:00,-29.41
,2006-07-01 04:30,-33.8
,2006-07-01 05:00,-2.65
,2006-07-01 05:30,6.63
,2006-07-01 06:00,30.98
,2006-07-01 06:30,44.29
,2006-07-01 07:00,51.81
,2006-07-01 07:30,93.23
,2006-07-01 08:00,96
,2006-07-01 08:30,92.66
,2006-07-01 09:00,112.55
,2006-07-01 09:30,197.85
,2006-07-01 10:00,155.32
,2006-07-01 10:30,85.69
,2006-07-01 11:00,84.94
,2006-07-01 11:30,51.97
,2006-07-01 12:00,87.65
,2006-07-01 12:30,23.24
,2006-07-01 13:00,172.19
,2006-07-01 13:30,38.74
,2006-07-01 14:00,134.68
,2006-07-01 14:30,105.22
,2006-07-01 15:00,94.98
,2006-07-01 15:30,52.71
,2006-07-01 16:00,49.73
,2006-07-01 16:30,46.11
,2006-07-01 17:00,2.27
,2006-07-01 17:30,-6.84
,2006-07-01 18:00,-1.13
,2006-07-01 18:30,-7.71
,2006-07-01 19:00,-5.11
,2006-07-01 19:30,-7.45
,2006-07-01 20:00,-9999
,2006-07-01 20:30,-3.99
,2006-07-01 21:00,-2.48
,2006-07-01 21:30,-5.91
,2006-07-01 22:00,-25.07
,2006-07-01 22:30,-12.15
,2006-07-01 23:00,1.4
,2006-07-01 23:30,-51.92
,2006-07-02 00:00,-10.13
,2006-07-02 00:30,-11.07
,2006-07-02 01:00,-11.58
,2006-07-02 01:30,-13.12
,2006-07-02 02:00,-8.54
,2006-07-02 02:30,-2.87
,2006-07-02 03:00,-3.16
,2006-07-02 03:30,-5.21
,2006-07-02 04:00,0.49
,2006-07-02 04:30,-0.02
,2006-07-02 05:00,2.17
,2006-07-02 05:30,7.6
,2006-07-02 06:00,40.84
,2006-07-02 06:30,30.78
,2006-07-02 07:00,61.89
,2006-07-02 07:30,41.52
,2006-07-02 08:00,13.09
,2006-07-02 08:30,35.98
,2006-07-02 09:00,79.05
,2006-07-02 09:30,72.15
,2006-07-02 10:00,92.28
,2006-07-02 10:30,64.89
,2006-07-02 11:00,54.79
,2006-07-02 11:30,68.2
,2006-07-02 12:00,43.38
,2006-07-02 12:30,113.18
,2006-07-02 13:00,159.98
,2006-07-02 13:30,148.25
,2006-07-02 14:00,148.15
,2006-07-02 14:30,127.03
,2006-07-02 15:00,163.39
,2006-07-02 15:30,73.04
,2006-07-02 16:00,25.5
,2006-07-02 16:30,28.15
,2006-07-02 17:00,-11.93
,2006-07-02 17:30,-9.63
,2006-07-02 18:00,-13.88
,2006-07-02 18:30,-12.62
,2006-07-02 19:00,-8.55
,2006-07-02 19:30,-21.12
,2006-07-02 20:00,-10.12
,2006-07-02 20:30,-1.22
,2006-07-02 21:00,-14.13
,2006-07-02 21:30,-0.87
,2006-07-02 22:00,-20.71
,2006-07-02 22:30,-6.33
,2006-07-02 23:00,-9.41
,2006-07-02 23:30,-23.4
,2006-07-03 00:00,-8.48
,2006-07-03 00:30,-5.59
,2006-07-03 01:00,-20.41
,2006-07-03 01:30,-2.62
,2006-07-03 02:00,-9.05
,2006-07-03 02:30,-7.11
,2006-07-03 03:00,-15.65
,2006-07-03 03:30,-11.5
,2006-07-03 04:00,-12.65
,2006-07-03 04:30,-13.73
,2006-07-03 05:00,-0.49
,2006-07-03 05:30,10.14
,2006-07-03 06:00,36.6
,2006-07-03 06:30,47.75
,2006-07-03 07:00,50.72
,2006-07-03 07:30,139.96
,2006-07-03 08:00,174.29
,2006-07-03 08:30,113.33
,2006-07-03 09:00,-9999
,2006-07-03 09:30,-9999
,2006-07-03 10:00,143.14
,2006-07-03 10:30,134.53
,2006-07-03 11:00,213.4
,2006-07-03 11:30,153.67
,2006-07-03 12:00,106.88
,2006-07-03 12:30,61.67
,2006-07-03 13:00,146.96
,2006-07-03 13:30,129.24
,2006-07-03 14:00,95.67
,2006-07-03 14:30,128.46
,2006-07-03 15:00,91.48
,2006-07-03 15:30,55.52
,2006-07-03 16:00,3.77
,2006-07-03 16:30,0.24
,2006-07-03 17:00,9.54
,2006-07-03 17:30,-1.93
,2006-07-03 18:00,-14.08
,2006-07-03 18:30,-15.65
,2006-07-03 19:00,-3.44
,2006-07-03 19:30,-7.87
,2006-07-03 20:00,-16.72
,2006-07-03 20:30,-2.45
,2006-07-03 21:00,-9999
,2006-07-03 21:30,-9999
,2006-07-03 22:00,-9999
,2006-07-03 22:30,-9999
,2006-07-03 23:00,-9999
,2006-07-03 23:30,-6.37
,2006-07-04 00:00,-9999
,2006-07-04 00:30,-9999
,2006-07-04 01:00,-9999
,2006-07-04 01:30,-9999
,2006-07-04 02:00,-9999
,2006-07-04 02:30,-9999
,2006-07-04 03:00,-9999
,2006-07-04 03:30,-9999
,2006-07-04 04:00,-9999
,2006-07-04 04:30,-9999
,2006-07-04 05:00,-9999
,2006-07-04 05:30,-9999
,2006-07-04 06:00,-9999
,2006-07-04 06:30,-9999
,2006-07-04 07:00,-9999
,2006-07-04 07:30,-9999
,2006-07-04 08:00,-9999
,2006-07-04 08:30,-9999
,2006-07-04 09:00,-9999
,2006-07-04 09:30,-9999
,2006-07-04 10:00,-9999
,2006-07-04 10:30,159.06
,2006-07-04 11:00,167.45
,2006-07-04 11:30,177.67
,2006-07-04 12:00,168.87
,2006-07-04 12:30,123.53
,2006-07-04 13:00,155.65
,2006-07-04 13:30,137.25
,2006-07-04 14:00,132.36
,2006-07-04 14:30,135.23
,2006-07-04 15:00,122.02
,2006-07-04 15:30,117
,2006-07-04 16:00,92.96
,2006-07-04 16:30,74
,2006-07-04 17:00,49.31
,2006-07-04 17:30,31.18
,2006-07-04 18:00,-1.63
,2006-07-04 18:30,-10.24
,2006-07-04 19:00,-9.57
,2006-07-04 19:30,-8.17
,2006-07-04 20:00,-7.06
,2006-07-04 20:30,-4.63
,2006-07-04 21:00,-18.77
,2006-07-04 21:30,-10.74
,2006-07-04 22:00,-2.2
,2006-07-04 22:30,-9.27
,2006-07-04 23:00,-7.34
