@T,table,
@H,timestamp,val_4
ID,  ,4
,2006-07-01 00:00,54.07
,2006-07-01 00:30,55.06
,2006-07-01 01:00,58.33
,2006-07-01 01:30,58.85
,2006-07-01 02:00,64.46
,2006-07-01 02:30,63.78
,2006-07-01 03:00,66.27
,2006-07-01 03:30,69.05
,2006-07-01 04:00,69.84
,2006-07-01 04:30,71.33
,2006-07-01 05:00,64.9
,2006-07-01 05:30,62.13
,2006-07-01 06:00,61.47
,2006-07-01 06:30,58.91
,2006-07-01 07:00,58.71
,2006-07-01 07:30,59.31
,2006-07-01 08:00,58.11
,2006-07-01 08:30,55.54
,2006-07-01 09:00,53.22
,2006-07-01 09:30,55.07
,2006-07-01 10:00,56.22
,2006-07-01 10:30,54.15
,2006-07-01 11:00,56.95
,2006-07-01 11:30,57.06
,2006-07-01 12:00,58.73
,2006-07-01 12:30,60.31
,2006-07-01 13:00,66.5
,2006-07-01 13:30,70.72
,2006-07-01 14:00,73.48
,2006-07-01 14:30,73.43
,2006-07-01 15:00,71.9
,2006-07-01 15:30,74.95
,2006-07-01 16:00,71.39
,2006-07-01 16:30,68.47
,2006-07-01 17:00,67.28
,2006-07-01 17:30,73.05
,2006-07-01 18:00,74.56
,2006-07-01 18:30,85.02
,2006-07-01 19:00,92.84
,2006-07-01 19:30,97.15
,2006-07-01 20:00,99.47
,2006-07-01 20:30,99.54
,2006-07-01 21:00,95.45
,2006-07-01 21:30,77.6
,2006-07-01 22:00,73.87
,2006-07-01 22:30,69.97
,2006-07-01 23:00,80.85
,2006-07-01 23:30,52.86
,2006-07-02 00:00,95.65
,2006-07-02 00:30,95.55
,2006-07-02 01:00,99.19
,2006-07-02 01:30,99.3
,2006-07-02 02:00,99.27
,2006-07-02 02:30,99.63
,2006-07-02 03:00,99.93
,2006-07-02 03:30,100
,2006-07-02 04:00,100
,2006-07-02 04:30,100
,2006-07-02 05:00,99.99
,2006-07-02 05:30,100
,2006-07-02 06:00,99.93
,2006-07-02 06:30,99.8
,2006-07-02 07:00,98.24
,2006-07-02 07:30,90.71
,2006-07-02 08:00,88.1
,2006-07-02 08:30,84.28
,2006-07-02 09:00,85.64
,2006-07-02 09:30,85.22
,2006-07-02 10:00,82.44
,2006-07-02 10:30,81.62
,2006-07-02 11:00,80.54
,2006-07-02 11:30,80.76
,2006-07-02 12:00,83.43
,2006-07-02 12:30,79.96
,2006-07-02 13:00,77.73
,2006-07-02 13:30,76.09
,2006-07-02 14:00,71.71
,2006-07-02 14:30,71.37
,2006-07-02 15:00,74.31
,2006-07-02 15:30,78.29
,2006-07-02 16:00,83.88
,2006-07-02 16:30,85.32
,2006-07-02 17:00,86.16
,2006-07-02 17:30,86.96
,2006-07-02 18:00,90.64
,2006-07-02 18:30,92.72
,2006-07-02 19:00,95.28
,2006-07-02 19:30,96
,2006-07-02 20:00,98.12
,2006-07-02 20:30,96.46
,2006-07-02 21:00,99.17
,2006-07-02 21:30,99.47
,2006-07-02 22:00,99.46
,2006-07-02 22:30,99.34
,2006-07-02 23:00,99.4
,2006-07-02 23:30,96.33
,2006-07-03 00:00,99.3
,2006-07-03 00:30,99.58
,2006-07-03 01:00,99.61
,2006-07-03 01:30,99.76
,2006-07-03 02:00,99.81
,2006-07-03 02:30,99.72
,2006-07-03 03:00,99.68
,2006-07-03 03:30,99.57
,2006-07-03 04:00,99.54
,2006-07-03 04:30,99.48
,2006-07-03 05:00,99.29
,2006-07-03 05:30,96.03
,2006-07-03 06:00,87.09
,2006-07-03 06:30,88.25
,2006-07-03 07:00,98.06
,2006-07-03 07:30,90.47
,2006-07-03 08:00,91.22
,2006-07-03 08:30,88.49
,2006-07-03 09:00,84.39
,2006-07-03 09:30,81.8
,2006-07-03 10:00,79.53
,2006-07-03 10:30,76.13
,2006-07-03 11:00,73.16
,2006-07-03 11:30,71.48
,2006-07-03 12:00,79.75
,2006-07-03 12:30,84.68
,2006-07-03 13:00,79.05
,2006-07-03 13:30,77.76
,2006-07-03 14:00,72.06
,2006-07-03 14:30,71.83
,2006-07-03 15:00,75.8
,2006-07-03 15:30,85.39
,2006-07-03 16:00,89.09
,2006-07-03 16:30,85.68
,2006-07-03 17:00,87.6
,2006-07-03 17:30,94.21
,2006-07-03 18:00,93.27
,2006-07-03 18:30,92.17
,2006-07-03 19:00,99.11
,2006-07-03 19:30,99.46
,2006-07-03 20:00,99.33
,2006-07-03 20:30,99.72
,2006-07-03 21:00,99.71
,2006-07-03 21:30,99.64
,2006-07-03 22:00,96.75
,2006-07-03 22:30,98.47
,2006-07-03 23:00,99.64
,2006-07-03 23:30,99.62
,2006-07-04 00:00,99.49
,2006-07-04 00:30,99.34
,2006-07-04 01:00,99.44
,2006-07-04 01:30,99.39
,2006-07-04 02:00,99.48
,2006-07-04 02:30,99.6
,2006-07-04 03:00,99.89
,2006-07-04 03:30,100
,2006-07-04 04:00,100
,2006-07-04 04:30,100
,2006-07-04 05:00,100
,2006-07-04 05:30,100
,2006-07-04 06:00,99.7
,2006-07-04 06:30,99.89
,2006-07-04 07:00,99.73
,2006-07-04 07:30,99.62
,2006-07-04 08:00,99.52
,2006-07-04 08:30,98.93
,2006-07-04 09:00,97.42
,2006-07-04 09:30,99.59
,2006-07-04 10:00,95.82
,2006-07-04 10:30,90.99
,2006-07-04 11:00,92.58
,2006-07-04 11:30,89.12
,2006-07-04 12:00,86.79
,2006-07-04 12:30,83.5
,2006-07-04 13:00,78.69
,2006-07-04 13:30,90.08
,2006-07-04 14:00,91.25
,2006-07-04 14:30,84.2
,2006-07-04 15:00,85.02
,2006-07-04 15:30,84.66
,2006-07-04 16:00,81.18
,2006-07-04 16:30,86.68
,2006-07-04 17:00,88.87
,2006-07-04 17:30,87.62
,2006-07-04 18:00,94.49
,2006-07-04 18:30,96.83
,2006-07-04 19:00,96.82
,2006-07-04 19:30,99.39
,2006-07-04 20:00,98.9
,2006-07-04 20:30,96.04
,2006-07-04 21:00,99.03
,2006-07-04 21:30,99.6
,2006-07-04 22:00,99.68
,2006-07-04 22:30,99.63
,2006-07-04 23:00,99.23
,2006-07-04 23:30,99.73
,2006-07-05 00:00,96.15
,2006-07-05 00:30,99.5
,2006-07-05 01:00,97.77
,2006-07-05 01:30,95.3
