@T,table,
@H,timestamp,val_4
ID,  ,4
,2006-07-01 00:00,-0.03
,2006-07-01 00:30,-0.01
,2006-07-01 01:00,-0.01
,2006-07-01 01:30,0
,2006-07-01 02:00,-0.01
,2006-07-01 02:30,-0.01
,2006-07-01 03:00,0
,2006-07-01 03:30,1.47
,2006-07-01 04:00,10.51
,2006-07-01 04:30,30.44
,2006-07-01 05:00,144.34
,2006-07-01 05:30,215.77
,2006-07-01 06:00,301.94
,2006-07-01 06:30,388.23
,2006-07-01 07:00,465.61
,2006-07-01 07:30,551.67
,2006-07-01 08:00,617.31
,2006-07-01 08:30,704.03
,2006-07-01 09:00,781.15
,2006-07-01 09:30,823.58
,2006-07-01 10:00,888.47
,2006-07-01 10:30,745.92
,2006-07-01 11:00,541.06
,2006-07-01 11:30,485.11
,2006-07-01 12:00,608.99
,2006-07-01 12:30,270.23
,2006-07-01 13:00,1038.8
,2006-07-01 13:30,306.44
,2006-07-01 14:00,805.81
,2006-07-01 14:30,651.26
,2006-07-01 15:00,590.87
,2006-07-01 15:30,414.21
,2006-07-01 16:00,388.81
,2006-07-01 16:30,395.06
,2006-07-01 17:00,207.42
,2006-07-01 17:30,126.17
,2006-07-01 18:00,123.62
,2006-07-01 18:30,50.22
,2006-07-01 19:00,19.65
,2006-07-01 19:30,2.62
,2006-07-01 20:00,-0.06
,2006-07-01 20:30,-0.18
,2006-07-01 21:00,-0.09
,2006-07-01 21:30,-0.06
,2006-07-01 22:00,-0.04
,2006-07-01 22:30,-0.03
,2006-07-01 23:00,-0.01
,2006-07-01 23:30,-0.02
,2006-07-02 00:00,0
,2006-07-02 00:30,0
,2006-07-02 01:00,-0.01
,2006-07-02 01:30,0
,2006-07-02 02:00,0
,2006-07-02 02:30,0
,2006-07-02 03:00,0
,2006-07-02 03:30,0.05
,2006-07-02 04:00,2.9
,2006-07-02 04:30,14.35
,2006-07-02 05:00,32.84
,2006-07-02 05:30,55.44
,2006-07-02 06:00,151.34
,2006-07-02 06:30,194.28
,2006-07-02 07:00,283
,2006-07-02 07:30,268.92
,2006-07-02 08:00,167.91
,2006-07-02 08:30,327.46
,2006-07-02 09:00,485.22
,2006-07-02 09:30,487.46
,2006-07-02 10:00,425.02
,2006-07-02 10:30,387.88
,2006-07-02 11:00,381.09
,2006-07-02 11:30,383.56
,2006-07-02 12:00,302.34
,2006-07-02 12:30,699.38
,2006-07-02 13:00,788.1
,2006-07-02 13:30,812.59
,2006-07-02 14:00,800.39
,2006-07-02 14:30,688.32
,2006-07-02 15:00,707.72
,2006-07-02 15:30,400.71
,2006-07-02 16:00,200.48
,2006-07-02 16:30,241.76
,2006-07-02 17:00,67.95
,2006-07-02 17:30,23.04
,2006-07-02 18:00,15.97
,2006-07-02 18:30,11.69
,2006-07-02 19:00,7.02
,2006-07-02 19:30,1.77
,2006-07-02 20:00,0
,2006-07-02 20:30,-0.01
,2006-07-02 21:00,0
,2006-07-02 21:30,0
,2006-07-02 22:00,0
,2006-07-02 22:30,0
,2006-07-02 23:00,0
,2006-07-02 23:30,0
,2006-07-03 00:00,0
,2006-07-03 00:30,0
,2006-07-03 01:00,0
,2006-07-03 01:30,0
,2006-07-03 02:00,0
,2006-07-03 02:30,0
,2006-07-03 03:00,0
,2006-07-03 03:30,0.88
,2006-07-03 04:00,10.22
,2006-07-03 04:30,38.15
,2006-07-03 05:00,121.07
,2006-07-03 05:30,200.25
,2006-07-03 06:00,293.13
,2006-07-03 06:30,345
,2006-07-03 07:00,321.22
,2006-07-03 07:30,690.71
,2006-07-03 08:00,734.8
,2006-07-03 08:30,556.47
,2006-07-03 09:00,892
,2006-07-03 09:30,843.71
,2006-07-03 10:00,823.61
,2006-07-03 10:30,739.21
,2006-07-03 11:00,1013.8
,2006-07-03 11:30,778.45
,2006-07-03 12:00,512.24
,2006-07-03 12:30,425.17
,2006-07-03 13:00,842.19
,2006-07-03 13:30,651.51
,2006-07-03 14:00,559.22
,2006-07-03 14:30,683.65
,2006-07-03 15:00,525.54
,2006-07-03 15:30,336.25
,2006-07-03 16:00,90.74
,2006-07-03 16:30,98.43
,2006-07-03 17:00,100.74
,2006-07-03 17:30,63.02
,2006-07-03 18:00,19.01
,2006-07-03 18:30,24.52
,2006-07-03 19:00,17.21
,2006-07-03 19:30,6.41
,2006-07-03 20:00,-0.02
,2006-07-03 20:30,-0.02
,2006-07-03 21:00,0
,2006-07-03 21:30,0
,2006-07-03 22:00,0
,2006-07-03 22:30,0
,2006-07-03 23:00,0
,2006-07-03 23:30,0
,2006-07-04 00:00,0
,2006-07-04 00:30,0
,2006-07-04 01:00,0
,2006-07-04 01:30,0
,2006-07-04 02:00,0
,2006-07-04 02:30,0
,2006-07-04 03:00,0
,2006-07-04 03:30,0.8
,2006-07-04 04:00,8.99
,2006-07-04 04:30,27.69
,2006-07-04 05:00,135.08
,2006-07-04 05:30,213.34
,2006-07-04 06:00,282.17
,2006-07-04 06:30,227.2
,2006-07-04 07:00,371.07
,2006-07-04 07:30,570.98
,2006-07-04 08:00,624.26
,2006-07-04 08:30,699.68
,2006-07-04 09:00,769.73
,2006-07-04 09:30,459.96
,2006-07-04 10:00,883.7
,2006-07-04 10:30,851.06
,2006-07-04 11:00,804.07
,2006-07-04 11:30,923.42
,2006-07-04 12:00,820.21
,2006-07-04 12:30,763.57
,2006-07-04 13:00,716.02
,2006-07-04 13:30,708.18
,2006-07-04 14:00,787.99
,2006-07-04 14:30,755.62
,2006-07-04 15:00,643.3
,2006-07-04 15:30,572.02
,2006-07-04 16:00,520.9
,2006-07-04 16:30,402.15
,2006-07-04 17:00,339.04
,2006-07-04 17:30,220.45
,2006-07-04 18:00,83.69
,2006-07-04 18:30,10.45
,2006-07-04 19:00,7.74
,2006-07-04 19:30,1.49
,2006-07-04 20:00,-0.13
,2006-07-04 20:30,-0.09
,2006-07-04 21:00,-0.04
,2006-07-04 21:30,-0.03
,2006-07-04 22:00,-0.02
,2006-07-04 22:30,-0.01
,2006-07-04 23:00,-0.01
,2006-07-04 23:30,0
,2006-07-05 00:00,-0.02
,2006-07-05 00:30,0
,2006-07-05 01:00,-0.01
,2006-07-05 01:30,-0.01
,2006-07-05 02:00,-0.02
,2006-07-05 02:30,0
