@T,table,
@H,timestamp,val_4
ID,  ,4
,2006-07-01 00:00,14.45
,2006-07-01 00:30,14.25
,2006-07-01 01:00,13.45
,2006-07-01 01:30,12.96
,2006-07-01 02:00,11.67
,2006-07-01 02:30,12.12
,2006-07-01 03:00,11.71
,2006-07-01 03:30,11.16
,2006-07-01 04:00,10.97
,2006-07-01 04:30,10.69
,2006-07-01 05:00,12.31
,2006-07-01 05:30,13.53
,2006-07-01 06:00,14.06
,2006-07-01 06:30,14.75
,2006-07-01 07:00,15.33
,2006-07-01 07:30,15.63
,2006-07-01 08:00,15.9
,2006-07-01 08:30,16.19
,2006-07-01 09:00,16.98
,2006-07-01 09:30,17.43
,2006-07-01 10:00,17.67
,2006-07-01 10:30,18.04
,2006-07-01 11:00,17.34
,2006-07-01 11:30,17.54
,2006-07-01 12:00,18.39
,2006-07-01 12:30,17.61
,2006-07-01 13:00,18.65
,2006-07-01 13:30,17.99
,2006-07-01 14:00,18.42
,2006-07-01 14:30,18.3
,2006-07-01 15:00,18.5
,2006-07-01 15:30,17.86
,2006-07-01 16:00,18.08
,2006-07-01 16:30,18.02
,2006-07-01 17:00,17.61
,2006-07-01 17:30,16.88
,2006-07-01 18:00,17.14
,2006-07-01 18:30,16.29
,2006-07-01 19:00,15.42
,2006-07-01 19:30,14.89
,2006-07-01 20:00,14.19
,2006-07-01 20:30,14.07
,2006-07-01 21:00,13.67
,2006-07-01 21:30,13.38
,2006-07-01 22:00,13.64
,2006-07-01 22:30,14.21
,2006-07-01 23:00,12.62
,2006-07-01 23:30,14.68
,2006-07-02 00:00,12.31
,2006-07-02 00:30,11.77
,2006-07-02 01:00,11.58
,2006-07-02 01:30,11.78
,2006-07-02 02:00,12.13
,2006-07-02 02:30,12.21
,2006-07-02 03:00,12.05
,2006-07-02 03:30,12.03
,2006-07-02 04:00,12.01
,2006-07-02 04:30,12.14
,2006-07-02 05:00,12.22
,2006-07-02 05:30,11.9
,2006-07-02 06:00,12.56
,2006-07-02 06:30,12.64
,2006-07-02 07:00,13.56
,2006-07-02 07:30,13.94
,2006-07-02 08:00,13.62
,2006-07-02 08:30,14.13
,2006-07-02 09:00,15.04
,2006-07-02 09:30,15.35
,2006-07-02 10:00,15.71
,2006-07-02 10:30,15.92
,2006-07-02 11:00,16.25
,2006-07-02 11:30,16.29
,2006-07-02 12:00,15.84
,2006-07-02 12:30,16.49
,2006-07-02 13:00,17.19
,2006-07-02 13:30,17.36
,2006-07-02 14:00,18.08
,2006-07-02 14:30,17.75
,2006-07-02 15:00,17.58
,2006-07-02 15:30,16.61
,2006-07-02 16:00,15.62
,2006-07-02 16:30,15.21
,2006-07-02 17:00,14.72
,2006-07-02 17:30,14.22
,2006-07-02 18:00,13.58
,2006-07-02 18:30,13.26
,2006-07-02 19:00,12.92
,2006-07-02 19:30,13.17
,2006-07-02 20:00,12.98
,2006-07-02 20:30,13.12
,2006-07-02 21:00,12.64
,2006-07-02 21:30,12.86
,2006-07-02 22:00,12.69
,2006-07-02 22:30,12.72
,2006-07-02 23:00,12.7
,2006-07-02 23:30,12.53
,2006-07-03 00:00,12.69
,2006-07-03 00:30,12.62
,2006-07-03 01:00,12.46
,2006-07-03 01:30,11.82
,2006-07-03 02:00,11.76
,2006-07-03 02:30,11.58
,2006-07-03 03:00,11.63
,2006-07-03 03:30,11.62
,2006-07-03 04:00,11.54
,2006-07-03 04:30,11.47
,2006-07-03 05:00,11.94
,2006-07-03 05:30,12.51
,2006-07-03 06:00,14.03
,2006-07-03 06:30,14.16
,2006-07-03 07:00,13.46
,2006-07-03 07:30,14.84
,2006-07-03 08:00,15.01
,2006-07-03 08:30,14.87
,2006-07-03 09:00,15.63
,2006-07-03 09:30,16.06
,2006-07-03 10:00,16.64
,2006-07-03 10:30,16.51
,2006-07-03 11:00,17.38
,2006-07-03 11:30,17.4
,2006-07-03 12:00,16.94
,2006-07-03 12:30,16.48
,2006-07-03 13:00,17.49
,2006-07-03 13:30,17.87
,2006-07-03 14:00,17.99
,2006-07-03 14:30,18.09
,2006-07-03 15:00,17.97
,2006-07-03 15:30,16.45
,2006-07-03 16:00,15.42
,2006-07-03 16:30,15.56
,2006-07-03 17:00,15.36
,2006-07-03 17:30,14.87
,2006-07-03 18:00,14.63
,2006-07-03 18:30,14.43
,2006-07-03 19:00,13.6
,2006-07-03 19:30,13.49
,2006-07-03 20:00,13.75
,2006-07-03 20:30,13.32
,2006-07-03 21:00,12.27
,2006-07-03 21:30,9.68
,2006-07-03 22:00,10.26
,2006-07-03 22:30,10.04
,2006-07-03 23:00,10.21
,2006-07-03 23:30,12.45
,2006-07-04 00:00,9.61
,2006-07-04 00:30,9.61
,2006-07-04 01:00,8.86
,2006-07-04 01:30,8.47
,2006-07-04 02:00,8.66
,2006-07-04 02:30,8.94
,2006-07-04 03:00,8.49
,2006-07-04 03:30,8.39
,2006-07-04 04:00,8.51
,2006-07-04 04:30,8.67
,2006-07-04 05:00,10.1
,2006-07-04 05:30,12.26
,2006-07-04 06:00,13.13
,2006-07-04 06:30,12.55
,2006-07-04 07:00,13.3
,2006-07-04 07:30,13.7
,2006-07-04 08:00,14.16
,2006-07-04 08:30,14.65
,2006-07-04 09:00,14.84
,2006-07-04 09:30,14.31
,2006-07-04 10:00,15.47
,2006-07-04 10:30,15.91
,2006-07-04 11:00,16.1
,2006-07-04 11:30,16.84
,2006-07-04 12:00,17.05
,2006-07-04 12:30,17.22
,2006-07-04 13:00,17.96
,2006-07-04 13:30,17.49
,2006-07-04 14:00,17.17
,2006-07-04 14:30,17.85
,2006-07-04 15:00,17.54
,2006-07-04 15:30,17.39
,2006-07-04 16:00,17.72
,2006-07-04 16:30,16.85
,2006-07-04 17:00,16.44
,2006-07-04 17:30,16.22
,2006-07-04 18:00,15.17
,2006-07-04 18:30,14.13
,2006-07-04 19:00,13.77
,2006-07-04 19:30,13.51
,2006-07-04 20:00,13.69
,2006-07-04 20:30,13.97
,2006-07-04 21:00,13.16
,2006-07-04 21:30,12.45
,2006-07-04 22:00,11.85
,2006-07-04 22:30,12.47
,2006-07-04 23:00,12.76
,2006-07-04 23:30,9.93
,2006-07-05 00:00,12.98
,2006-07-05 00:30,12.52
,2006-07-05 01:00,12.51
